Route, Time [min] 
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Victoria Street West--Distribution Centre Auckland, 206.98683333333332
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Metro Halsey Street--Distribution Centre Auckland, 132.18716666666668
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Mt Eden--Distribution Centre Auckland, 162.23933333333332
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Mt Roskill--Distribution Centre Auckland, 165.79250000000002
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Newmarket--Distribution Centre Auckland, 165.61499999999998
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Onehunga--Distribution Centre Auckland, 162.58149999999998
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Ponsonby--Distribution Centre Auckland, 169.4465
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Pt Chevalier--Distribution Centre Auckland, 172.8305
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown St Johns--Distribution Centre Auckland, 177.66016666666667
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown St Lukes--Distribution Centre Auckland, 163.317
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Three Kings--Distribution Centre Auckland, 175.60233333333335
Distribution Centre Auckland--Countdown Metro Albert Street--Countdown Victoria Street West--Distribution Centre Auckland, 175.45083333333332
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown Mt Eden--Distribution Centre Auckland, 159.63600000000002
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown Mt Roskill--Distribution Centre Auckland, 159.3835
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown Newmarket--Distribution Centre Auckland, 161.09349999999998
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown Onehunga--Distribution Centre Auckland, 156.17266666666666
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown Ponsonby--Distribution Centre Auckland, 162.13833333333332
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown Pt Chevalier--Distribution Centre Auckland, 166.42149999999998
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown St Johns--Distribution Centre Auckland, 179.13616666666667
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown St Lukes--Distribution Centre Auckland, 156.90800000000002
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown Three Kings--Distribution Centre Auckland, 171.08083333333335
Distribution Centre Auckland--Countdown Metro Halsey Street--Countdown Victoria Street West--Distribution Centre Auckland, 169.64283333333333
Distribution Centre Auckland--Countdown Mt Eden--Countdown Mt Roskill--Distribution Centre Auckland, 170.22733333333335
Distribution Centre Auckland--Countdown Mt Eden--Countdown Newmarket--Distribution Centre Auckland, 177.82766666666666
Distribution Centre Auckland--Countdown Mt Eden--Countdown Onehunga--Distribution Centre Auckland, 168.99766666666667
Distribution Centre Auckland--Countdown Mt Eden--Countdown Ponsonby--Distribution Centre Auckland, 184.1723333333333
Distribution Centre Auckland--Countdown Mt Eden--Countdown Pt Chevalier--Distribution Centre Auckland, 184.90516666666667
Distribution Centre Auckland--Countdown Mt Eden--Countdown St Johns--Distribution Centre Auckland, 196.68533333333335
Distribution Centre Auckland--Countdown Mt Eden--Countdown St Lukes--Distribution Centre Auckland, 169.61466666666666
Distribution Centre Auckland--Countdown Mt Eden--Countdown Three Kings--Distribution Centre Auckland, 181.78300000000002
Distribution Centre Auckland--Countdown Mt Eden--Countdown Victoria Street West--Distribution Centre Auckland, 196.5485
Distribution Centre Auckland--Countdown Mt Roskill--Countdown Newmarket--Distribution Centre Auckland, 181.36566666666667
Distribution Centre Auckland--Countdown Mt Roskill--Countdown Onehunga--Distribution Centre Auckland, 160.27599999999998
Distribution Centre Auckland--Countdown Mt Roskill--Countdown Ponsonby--Distribution Centre Auckland, 186.23216666666667
Distribution Centre Auckland--Countdown Mt Roskill--Countdown Pt Chevalier--Distribution Centre Auckland, 181.08983333333333
Distribution Centre Auckland--Countdown Mt Roskill--Countdown St Johns--Distribution Centre Auckland, 197.76000000000002
Distribution Centre Auckland--Countdown Mt Roskill--Countdown St Lukes--Distribution Centre Auckland, 165.68383333333333
Distribution Centre Auckland--Countdown Mt Roskill--Countdown Three Kings--Distribution Centre Auckland, 175.42766666666668
Distribution Centre Auckland--Countdown Mt Roskill--Countdown Victoria Street West--Distribution Centre Auckland, 202.97050000000002
Distribution Centre Auckland--Countdown Newmarket--Countdown Onehunga--Distribution Centre Auckland, 177.92733333333334
Distribution Centre Auckland--Countdown Newmarket--Countdown Ponsonby--Distribution Centre Auckland, 188.11566666666667
Distribution Centre Auckland--Countdown Newmarket--Countdown Pt Chevalier--Distribution Centre Auckland, 188.17616666666666
Distribution Centre Auckland--Countdown Newmarket--Countdown St Johns--Distribution Centre Auckland, 195.2195
